problem, drat-user-time/s, drat-sys-time(s), drat-wall-time/s, drat-mem/KiB, gratgen-j1-user-time/s, gratgen-j1-sys-time(s), gratgen-j1-wall-time/s, gratgen-j1-mem/KiB, gratchk-j1-user-time/s, gratchk-j1-sys-time(s), gratchk-j1-wall-time/s, gratchk-j1-mem/KiB, gratgen-j4-user-time/s, gratgen-j4-sys-time(s), gratgen-j4-wall-time/s, gratgen-j4-mem/KiB, gratchk-j4-user-time/s, gratchk-j4-sys-time(s), gratchk-j4-wall-time/s, gratchk-j4-mem/KiB, gratgen-j8-user-time/s, gratgen-j8-sys-time(s), gratgen-j8-wall-time/s, gratgen-j8-mem/KiB, gratchk-j8-user-time/s, gratchk-j8-sys-time(s), gratchk-j8-wall-time/s, gratchk-j8-mem/KiB, gratgen-j12-user-time/s, gratgen-j12-sys-time(s), gratgen-j12-wall-time/s, gratgen-j12-mem/KiB, gratchk-j12-user-time/s, gratchk-j12-sys-time(s), gratchk-j12-wall-time/s, gratchk-j12-mem/KiB, gratgen-j16-user-time/s, gratgen-j16-sys-time(s), gratgen-j16-wall-time/s, gratgen-j16-mem/KiB, gratchk-j16-user-time/s, gratchk-j16-sys-time(s), gratchk-j16-wall-time/s, gratchk-j16-mem/KiB, 
tseitingrid4x185_shuffled,   8.4,   0.2,   8.7,  188004.0,   9.2,   0.7,  10.5,  195852.0,   1.7,   0.3,   2.0, 1111264.0,  12.3,   0.7,   8.1,  409160.0,   1.7,   0.3,   2.0, 1121432.0,  16.0,   0.8,   7.6,  719116.0,   1.8,   0.2,   2.0, 1123508.0,  19.1,   0.9,   7.5, 1030600.0,   1.7,   0.3,   2.0, 1121504.0,  22.1,   1.0,   7.5, 1342332.0,   1.6,   0.3,   2.0, 1119360.0, 
barman-pfile10-038.sas.ex.15,  12.4,   0.4,  13.0,  435608.0,  11.7,   0.5,  12.5,  726636.0,   8.5,   1.5,  10.0, 4803204.0,  12.8,   0.8,  12.1, 1570788.0,   8.5,   1.5,  10.0, 4803300.0,  13.5,   1.0,  12.3, 3050060.0,   8.5,   1.5,  10.0, 4803148.0,  14.5,   1.4,  13.3, 4541064.0,   8.5,   1.6,  10.1, 4803228.0,  15.8,   1.8,  14.2, 6019764.0,   8.6,   1.5,  10.1, 4803232.0, 
barman-pfile06-022.sas.ex.7,  23.1,   0.6,  23.9,  556716.0,  20.1,   0.7,  21.1,  948904.0,   1.3,   0.3,   1.7,  953364.0,  20.4,   0.9,  21.1, 1912060.0,   1.3,   0.3,   1.6,  953448.0,  21.2,   1.4,  21.6, 3782608.0,   1.3,   0.3,   1.6,  953460.0,  22.2,   1.9,  22.3, 5652536.0,   1.3,   0.3,   1.6,  951400.0,  23.6,   2.4,  23.3, 7522540.0,   1.3,   0.3,   1.6,  953444.0, 
tseitingrid4x195_shuffled,   8.0,   0.1,   8.3,  191612.0,   8.8,   0.5,   9.8,  212896.0,   1.7,   0.2,   1.9, 1072280.0,  11.4,   0.7,   7.8,  421236.0,   1.6,   0.2,   1.9, 1072240.0,  14.9,   0.8,   7.4,  732916.0,   1.6,   0.2,   1.9, 1070272.0,  18.2,   0.9,   7.4, 1045176.0,   1.7,   0.2,   1.9, 1072272.0,  21.5,   0.9,   7.7, 1360652.0,   1.7,   0.2,   1.9, 1070216.0, 
tseitingrid4x190_shuffled,   8.4,   0.1,   8.7,  193668.0,   9.3,   0.7,  10.5,  202600.0,   1.7,   0.3,   2.0,  900740.0,  12.0,   0.7,   8.0,  424444.0,   1.6,   0.2,   1.9, 1074408.0,  16.2,   0.8,   7.8,  749528.0,   1.7,   0.3,   1.9,  901240.0,  19.3,   0.8,   7.6, 1076280.0,   1.6,   0.3,   1.9,  898216.0,  22.4,   1.0,   7.8, 1400744.0,   1.6,   0.3,   1.9, 1074336.0, 
barman-pfile08-032.sas.ex.7,  21.3,   0.6,  22.1,  539032.0,  18.3,   0.7,  19.3,  906332.0,   2.4,   0.5,   2.8, 1097752.0,  19.5,   1.0,  22.6, 1857344.0,   2.3,   0.5,   2.8, 1097768.0,  19.7,   1.2,  20.3, 3668024.0,   2.3,   0.5,   2.8, 1097768.0,  20.5,   1.9,  20.9, 5477448.0,   2.3,   0.5,   2.8, 1097724.0,  21.8,   2.5,  22.1, 7288648.0,   2.4,   0.5,   2.8, 1097768.0, 
test_v3_r8_vr5_c1_s8257.smt2-stp212,  60.0,   0.1,  60.3,  157780.0,  47.6,   0.2,  48.5,  182872.0,   1.9,   0.2,   2.1, 1019000.0,  75.3,   0.4,  22.0,  416620.0,   1.9,   0.2,   2.1, 1021152.0,  91.1,   0.7,  15.0,  743220.0,   1.8,   0.2,   2.0, 1017012.0, 106.5,   0.9,  12.8, 1065932.0,   1.8,   0.2,   2.0, 1008720.0, 132.0,   1.5,  12.6, 1388488.0,   1.8,   0.3,   2.1, 1023176.0, 
barman-pfile10-040.sas.ex.15,  13.5,   0.4,  14.2,  436932.0,  13.0,   0.4,  13.9,  726076.0,  10.9,   1.5,  12.4, 4803228.0,  14.6,   0.7,  12.6, 1582180.0,  10.9,   1.5,  12.4, 4803236.0,  17.6,   1.1,  12.9, 3094892.0,  10.9,   1.5,  12.4, 4803292.0,  19.5,   1.5,  13.5, 4603104.0,  10.4,   1.5,  11.9, 4803292.0,  20.9,   2.1,  14.5, 6104500.0,  10.5,   1.5,  12.0, 4803284.0, 
barman-pfile10-039.sas.ex.15,  13.6,   0.4,  14.2,  448928.0,  13.3,   0.4,  14.1,  747132.0,   8.6,   1.5,  10.1, 4803240.0,  14.4,   0.8,  12.9, 1619864.0,   8.7,   1.5,  10.2, 4803316.0,  16.6,   1.1,  13.0, 3172528.0,   8.6,   1.5,  10.1, 4803272.0,  18.9,   1.6,  13.8, 4721840.0,   8.7,   1.5,  10.2, 4803304.0,  21.1,   2.1,  14.8, 6263708.0,   8.6,   1.4,  10.1, 4803364.0, 
snw_13_8_CCSpreOptpre,  64.5,   0.1,  64.8,  144704.0,  59.9,   0.3,  60.9,  139892.0,   1.9,   0.2,   2.1, 1062040.0,  82.8,   0.4,  23.3,  288464.0,   1.9,   0.2,   2.1, 1055856.0, 110.7,   0.6,  16.7,  507352.0,   1.9,   0.2,   2.1, 1055904.0, 138.2,   0.9,  14.6,  722748.0,   1.8,   0.2,   2.1, 1051852.0, 172.4,   1.3,  14.1,  939344.0,   1.8,   0.2,   2.1, 1053820.0, 
tseitingrid4x200_shuffled,  10.5,   0.2,  10.8,  212864.0,  11.4,   0.7,  12.8,  255360.0,   1.8,   0.2,   2.0, 1147996.0,  15.2,   0.7,   9.9,  511524.0,   1.7,   0.3,   2.1, 1152216.0,  19.8,   0.9,   9.4,  899336.0,   1.8,   0.2,   2.0, 1152136.0,  24.1,   0.9,   9.3, 1289796.0,   1.8,   0.2,   2.0, 1150064.0,  27.8,   1.1,   9.4, 1681032.0,   1.8,   0.2,   2.0, 1150044.0, 
barman-pfile10-037.sas.ex.7,  29.6,   0.8,  30.5,  699436.0,  25.2,   1.0,  26.4, 1252168.0,   3.2,   0.7,   4.0, 2161264.0,  26.0,   1.4,  27.3, 2525732.0,   3.3,   0.6,   3.9, 2161212.0,  27.9,   1.8,  28.8, 5010324.0,   3.3,   0.6,   3.9, 2161536.0,  27.8,   2.5,  28.8, 7495628.0,   3.2,   0.7,   3.9, 2161516.0,  30.0,   3.1,  30.5, 9979748.0,   3.3,   0.7,   4.0, 2160124.0, 
barman-pfile07-027.sas.cr.37,  27.2,   0.3,  27.6,  347800.0,  37.4,   0.8,  39.6,  708472.0,   5.0,   0.8,   5.8, 3150112.0,  42.6,   1.4,  20.4, 1548664.0,   5.0,   0.9,   5.9, 3213568.0,  52.5,   3.0,  18.2, 2742156.0,   4.9,   0.9,   5.8, 3127560.0,  66.2,   5.0,  18.5, 3929500.0,   5.0,   0.8,   5.8, 3107144.0,  91.1,   9.8,  20.9, 5118928.0,   5.0,   0.8,   5.8, 3135832.0, 
barman-pfile08-032.sas.ex.15,  26.8,   0.7,  27.7,  664836.0,  23.6,   0.9,  24.9, 1191524.0,   6.2,   1.0,   7.2, 3629376.0,  25.0,   1.3,  24.8, 2481960.0,   6.1,   0.9,   7.0, 3629328.0,  26.7,   1.8,  25.1, 4899284.0,   6.0,   1.0,   7.0, 3627228.0,  28.2,   2.4,  26.4, 7308096.0,   6.0,   0.9,   7.0, 3629368.0,  29.6,   3.2,  27.4, 9717240.0,   6.1,   1.0,   7.1, 3631392.0, 
snw_13_8_CCSpreOptEncpre,  32.0,   0.1,  32.4,  142992.0,  39.1,   0.2,  39.9,  151600.0,   1.4,   0.2,   1.6,  937104.0,  50.5,   0.3,  14.6,  363312.0,   1.4,   0.2,   1.6,  939228.0,  75.8,   0.7,  11.7,  667752.0,   1.3,   0.3,   1.6,  937060.0,  96.5,   1.1,  10.6,  971056.0,   1.4,   0.2,   1.6,  937080.0, 125.2,   1.7,  10.7, 1277172.0,   1.4,   0.2,   1.7,  937084.0, 
peb-pyrofpyr-11-neq-3_shuffled, 971.2,   0.3, 971.5,  227896.0, 597.3,   0.9, 599.0,  301644.0,   2.6,   0.4,   3.0,  961756.0, 1337.0,   1.3, 341.0,  682792.0,   2.5,   0.5,   2.9,  959544.0, 1811.7,   1.6, 234.1, 1199868.0,   2.5,   0.4,   2.9,  959536.0, 2346.0,   2.3, 203.8, 1719996.0,   2.6,   0.4,   3.0,  959584.0, 3345.4,   3.2, 217.9, 2235752.0,   2.6,   0.4,   3.0,  961644.0, 
stone-width3chain-nmarkers-08_shuffled,  50.0,   0.3,  50.7,  238544.0,  51.2,   1.1,  53.4,  306056.0,   2.7,   0.5,   3.3, 1146292.0,  61.7,   1.3,  26.2,  646944.0,   2.7,   0.5,   3.2, 1142176.0,  91.8,   1.4,  23.4, 1130772.0,   2.6,   0.5,   3.2, 1148308.0, 125.3,   1.6,  23.1, 1613728.0,   2.8,   0.5,   3.3, 1148344.0, 170.9,   1.7,  23.8, 2099072.0,   2.7,   0.5,   3.2, 1148220.0, 
snw_13_8_CCSpreOptnopre,  80.2,   0.2,  80.7,  185304.0,  80.8,   0.5,  81.8,  245804.0,   2.1,   0.4,   2.5,  965596.0, 123.6,   0.6,  35.2,  521696.0,   2.2,   0.4,   2.5,  967796.0, 161.2,   1.0,  25.1,  911280.0,   2.2,   0.3,   2.5,  965684.0, 198.3,   1.4,  21.9, 1296352.0,   2.2,   0.3,   2.5,  965652.0, 262.3,   2.0,  22.1, 1678356.0,   2.1,   0.4,   2.5,  965668.0, 
peb-pyrofpyr-12-neq-3_shuffled, 1480.0,   0.3, 1480.5,  264400.0, 1115.9,   1.2, 1118.1,  393488.0,   3.5,   0.5,   4.0, 1494568.0, 2731.4,   1.5, 691.5,  884156.0,   3.5,   0.6,   4.1, 1498656.0, 3472.7,   2.4, 444.0, 1547116.0,   3.5,   0.5,   4.0, 1502824.0, 4529.0,   3.4, 388.0, 2206492.0,   3.4,   0.7,   4.1, 1498712.0, 6230.2,   4.6, 400.7, 2855292.0,   3.4,   0.6,   4.0, 1502768.0, 
stone-width3chain-nmarkers-09_shuffled,  99.0,   0.3, 101.1,  306016.0,  83.6,   1.7,  86.5,  460928.0,   3.9,   0.7,   4.5, 2335488.0, 108.8,   1.9,  42.7,  946068.0,   3.8,   0.7,   4.5, 2299364.0, 180.2,   2.1,  40.0, 1652956.0,   3.9,   0.6,   4.6, 2328712.0, 245.7,   2.4,  39.0, 2362040.0,   3.9,   0.6,   4.6, 2338264.0, 356.2,   2.8,  41.3, 3072908.0,   3.7,   0.7,   4.4, 2310716.0, 
peb-pyrofpyr-13-neq-3_shuffled, 3449.2,   0.6, 3451.5,  318756.0, 2305.1,   1.8, 2309.1,  493684.0,   4.2,   0.8,   5.0, 2446732.0, 4639.8,   2.2, 1171.3, 1155452.0,   4.4,   0.7,   5.1, 2463372.0, 5856.4,   3.0, 745.1, 2020704.0,   4.2,   0.8,   5.0, 2466788.0, 7666.7,   4.6, 652.9, 2889448.0,   4.4,   0.7,   5.1, 2472884.0, 10574.2,   5.3, 675.6, 3757484.0,   4.4,   0.7,   5.1, 2463668.0, 
